GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
1400000US36005034200,36005034200,"Census Tract 342, Bronx County, New York",49231,10846
1400000US36005034300,36005034300,"Census Tract 343, Bronx County, New York",75547,7203
1400000US36005034400,36005034400,"Census Tract 344, Bronx County, New York",61141,14027
1400000US36005034500,36005034500,"Census Tract 345, Bronx County, New York",59632,27279
1400000US36005034800,36005034800,"Census Tract 348, Bronx County, New York",37742,7814
1400000US36005035000,36005035000,"Census Tract 350, Bronx County, New York",58056,33307
1400000US36005035100,36005035100,"Census Tract 351, Bronx County, New York",76905,14708
1400000US36005035600,36005035600,"Census Tract 356, Bronx County, New York",68893,8424
1400000US36005035800,36005035800,"Census Tract 358, Bronx County, New York",69939,11102
1400000US36005035900,36005035900,"Census Tract 359, Bronx County, New York",23080,5730
1400000US36005036000,36005036000,"Census Tract 360, Bronx County, New York",61929,11039
1400000US36005036100,36005036100,"Census Tract 361, Bronx County, New York",24063,5802
1400000US36005036300,36005036300,"Census Tract 363, Bronx County, New York",19813,3815
1400000US36005036400,36005036400,"Census Tract 364, Bronx County, New York",64167,16152
1400000US36005036501,36005036501,"Census Tract 365.01, Bronx County, New York",26152,4921
1400000US36005036502,36005036502,"Census Tract 365.02, Bronx County, New York",28095,16752
1400000US36005036700,36005036700,"Census Tract 367, Bronx County, New York",30068,9986
1400000US36005036800,36005036800,"Census Tract 368, Bronx County, New York",50357,27917
1400000US36005036901,36005036901,"Census Tract 369.01, Bronx County, New York",18679,8123
1400000US36005036902,36005036902,"Census Tract 369.02, Bronx County, New York",24375,7925
1400000US36005037000,36005037000,"Census Tract 370, Bronx County, New York",45694,7957
1400000US36005037100,36005037100,"Census Tract 371, Bronx County, New York",26667,9489
1400000US36005037200,36005037200,"Census Tract 372, Bronx County, New York",47596,11473
1400000US36005037300,36005037300,"Census Tract 373, Bronx County, New York",30928,2882
1400000US36005037400,36005037400,"Census Tract 374, Bronx County, New York",27854,8346
1400000US36005037504,36005037504,"Census Tract 375.04, Bronx County, New York",20576,2403
1400000US36005037600,36005037600,"Census Tract 376, Bronx County, New York",53255,5841
1400000US36005037800,36005037800,"Census Tract 378, Bronx County, New York",39758,4632
1400000US36005037900,36005037900,"Census Tract 379, Bronx County, New York",27625,8452
1400000US36005038000,36005038000,"Census Tract 380, Bronx County, New York",36781,10462
1400000US36005038100,36005038100,"Census Tract 381, Bronx County, New York",36998,5497
1400000US36005038200,36005038200,"Census Tract 382, Bronx County, New York",50469,13135
1400000US36005038301,36005038301,"Census Tract 383.01, Bronx County, New York",28309,6641
1400000US36005038302,36005038302,"Census Tract 383.02, Bronx County, New York",22468,8487
1400000US36005038500,36005038500,"Census Tract 385, Bronx County, New York",19163,3621
1400000US36005038600,36005038600,"Census Tract 386, Bronx County, New York",62577,18969
1400000US36005038700,36005038700,"Census Tract 387, Bronx County, New York",23377,10357
1400000US36005038800,36005038800,"Census Tract 388, Bronx County, New York",57500,26809
1400000US36005038900,36005038900,"Census Tract 389, Bronx County, New York",32062,6179
1400000US36005039000,36005039000,"Census Tract 390, Bronx County, New York",35313,11404
1400000US36005039100,36005039100,"Census Tract 391, Bronx County, New York",33020,5532
1400000US36005039200,36005039200,"Census Tract 392, Bronx County, New York",40282,4143
1400000US36005039300,36005039300,"Census Tract 393, Bronx County, New York",21651,3421
1400000US36005039400,36005039400,"Census Tract 394, Bronx County, New York",31738,14970
1400000US36005039500,36005039500,"Census Tract 395, Bronx County, New York",23860,5568
1400000US36005039600,36005039600,"Census Tract 396, Bronx County, New York",39821,6922
1400000US36005039700,36005039700,"Census Tract 397, Bronx County, New York",27440,9666
1400000US36005039800,36005039800,"Census Tract 398, Bronx County, New York",75962,14505
1400000US36005039901,36005039901,"Census Tract 399.01, Bronx County, New York",25362,4034
1400000US36005039902,36005039902,"Census Tract 399.02, Bronx County, New York",33142,8363
1400000US36005040100,36005040100,"Census Tract 401, Bronx County, New York",31208,11561
1400000US36005040302,36005040302,"Census Tract 403.02, Bronx County, New York",28152,4593
1400000US36005040303,36005040303,"Census Tract 403.03, Bronx County, New York",38199,6212
1400000US36005040304,36005040304,"Census Tract 403.04, Bronx County, New York",22750,11832
1400000US36005040400,36005040400,"Census Tract 404, Bronx County, New York",49306,21865
1400000US36005040501,36005040501,"Census Tract 405.01, Bronx County, New York",35464,4503
1400000US36005040502,36005040502,"Census Tract 405.02, Bronx County, New York",28750,11091
1400000US36005040600,36005040600,"Census Tract 406, Bronx County, New York",48267,14817
1400000US36005040701,36005040701,"Census Tract 407.01, Bronx County, New York",35785,13907
1400000US36005040702,36005040702,"Census Tract 407.02, Bronx County, New York",33419,8628
1400000US36005040800,36005040800,"Census Tract 408, Bronx County, New York",32262,8943
1400000US36005040900,36005040900,"Census Tract 409, Bronx County, New York",46127,6265
1400000US36005041100,36005041100,"Census Tract 411, Bronx County, New York",36681,7660
1400000US36005041300,36005041300,"Census Tract 413, Bronx County, New York",46627,10193
1400000US36005041400,36005041400,"Census Tract 414, Bronx County, New York",51434,8882
1400000US36005041500,36005041500,"Census Tract 415, Bronx County, New York",50440,6440
1400000US36005041800,36005041800,"Census Tract 418, Bronx County, New York",40208,7081
1400000US36005041900,36005041900,"Census Tract 419, Bronx County, New York",33759,7345
1400000US36005042000,36005042000,"Census Tract 420, Bronx County, New York",31417,10703
1400000US36005042100,36005042100,"Census Tract 421, Bronx County, New York",31969,8099
1400000US36005042200,36005042200,"Census Tract 422, Bronx County, New York",54698,13866
1400000US36005042300,36005042300,"Census Tract 423, Bronx County, New York",35288,5971
1400000US36005042400,36005042400,"Census Tract 424, Bronx County, New York",71406,11375
1400000US36005042500,36005042500,"Census Tract 425, Bronx County, New York",27241,8121
1400000US36005042600,36005042600,"Census Tract 426, Bronx County, New York",84850,24315
1400000US36005042800,36005042800,"Census Tract 428, Bronx County, New York",69800,14767
1400000US36005042901,36005042901,"Census Tract 429.01, Bronx County, New York",42625,11275
1400000US36005042902,36005042902,"Census Tract 429.02, Bronx County, New York",26621,4523
1400000US36005043000,36005043000,"Census Tract 430, Bronx County, New York",55197,17483
1400000US36005043100,36005043100,"Census Tract 431, Bronx County, New York",29568,6606
1400000US36005043400,36005043400,"Census Tract 434, Bronx County, New York",45625,7148
1400000US36005043500,36005043500,"Census Tract 435, Bronx County, New York",41042,21496
1400000US36005043600,36005043600,"Census Tract 436, Bronx County, New York",67553,7235
1400000US36005044200,36005044200,"Census Tract 442, Bronx County, New York",52474,9747
1400000US36005044400,36005044400,"Census Tract 444, Bronx County, New York",66190,15745
1400000US36005044800,36005044800,"Census Tract 448, Bronx County, New York",90132,19407
1400000US36005044901,36005044901,"Census Tract 449.01, Bronx County, New York",67368,12447
1400000US36005044902,36005044902,"Census Tract 449.02, Bronx County, New York",68000,20904
1400000US36005045101,36005045101,"Census Tract 451.01, Bronx County, New York",63819,8162
1400000US36005045102,36005045102,"Census Tract 451.02, Bronx County, New York",66194,8825
1400000US36005045600,36005045600,"Census Tract 456, Bronx County, New York",79257,11532
1400000US36005045800,36005045800,"Census Tract 458, Bronx County, New York",24421,4301
1400000US36005046000,36005046000,"Census Tract 460, Bronx County, New York",34808,10508
1400000US36005046201,36005046201,"Census Tract 462.01, Bronx County, New York",46491,7895
1400000US36005046202,36005046202,"Census Tract 462.02, Bronx County, New York",37440,10336
1400000US36005048400,36005048400,"Census Tract 484, Bronx County, New York",74583,13193
1400000US36005050400,36005050400,"Census Tract 504, Bronx County, New York",50417,37736
1400000US36005051600,36005051600,"Census Tract 516, Bronx County, New York",88061,7100
1400000US36047000100,36047000100,"Census Tract 1, Kings County, New York",88238,10981
1400000US36047000200,36047000200,"Census Tract 2, Kings County, New York",34931,17442
1400000US36047000301,36047000301,"Census Tract 3.01, Kings County, New York",130063,23922
1400000US36047000501,36047000501,"Census Tract 5.01, Kings County, New York",129107,14153
1400000US36047000502,36047000502,"Census Tract 5.02, Kings County, New York",106667,29327
1400000US36047000700,36047000700,"Census Tract 7, Kings County, New York",157534,20091
1400000US36047000900,36047000900,"Census Tract 9, Kings County, New York",161144,33778
1400000US36047001100,36047001100,"Census Tract 11, Kings County, New York",126726,24802
1400000US36047001300,36047001300,"Census Tract 13, Kings County, New York",112000,15467
1400000US36047001500,36047001500,"Census Tract 15, Kings County, New York",102899,11837
1400000US36047001800,36047001800,"Census Tract 18, Kings County, New York",,
1400000US36047002000,36047002000,"Census Tract 20, Kings County, New York",64653,25683
1400000US36047002100,36047002100,"Census Tract 21, Kings County, New York",212159,26582
1400000US36047002200,36047002200,"Census Tract 22, Kings County, New York",37299,3396
1400000US36047002300,36047002300,"Census Tract 23, Kings County, New York",19510,1849
1400000US36047002901,36047002901,"Census Tract 29.01, Kings County, New York",22905,5764
1400000US36047003000,36047003000,"Census Tract 30, Kings County, New York",70125,19289
1400000US36047003100,36047003100,"Census Tract 31, Kings County, New York",85577,13154
1400000US36047003300,36047003300,"Census Tract 33, Kings County, New York",118565,25043
1400000US36047003400,36047003400,"Census Tract 34, Kings County, New York",77216,18294
1400000US36047003500,36047003500,"Census Tract 35, Kings County, New York",79083,14372
