"year","leaid","lea_name","state_name","city_location","agency_type","enrollment","spec_ed_students","english_language_learners","est_population_total","est_population_5_17","est_population_5_17_pct"
"2016","3600148","KIPP ALWAYS MENTALLY PREPARED CHARTER SCHOOL","New York","BROOKLYN","Charter agency","870","","14","","",""
"2016","3600149","ACHIEVEMENT FIRST EAST NEW YORK CHARTER SCHOOL","New York","BROOKLYN","Charter agency","839","","10","","",""
"2016","3600150","UFT CHARTER SCHOOL","New York","BROOKLYN","Charter agency","300","","10","","",""
"2016","3600151","NEW YORK CITY GEOGRAPHIC DISTRICT #20","New York","BROOKLYN","Local school district that is a component of a supervisory union","51935","12220","13033","","",""
"2016","3600152","NEW YORK CITY GEOGRAPHIC DISTRICT #21","New York","BROOKLYN","Local school district that is a component of a supervisory union","35393","9924","6206","","",""
"2016","3600153","NEW YORK CITY GEOGRAPHIC DISTRICT #22","New York","BROOKLYN","Local school district that is a component of a supervisory union","35457","10012","4127","","",""
"2016","3600154","NEW YORK STATE SCHOOL FOR THE DEAF","New York","ROME","State-operated agency","48","43","","","",""
"2016","3600155","CHARTER SCHOOL OF EDUCATIONAL EXCELLENCE","New York","YONKERS","Charter agency","699","","87","","",""
"2016","3600157","EXPLORE CHARTER SCHOOL","New York","BROOKLYN","Charter agency","511","","21","","",""
"2016","3600158","DEMOCRACY PREPARATORY CHARTER SCHOOL","New York","NEW YORK","Charter agency","705","","21","","",""
"2016","3600159","COMMUNITY ROOTS CHARTER SCHOOL","New York","BROOKLYN","Charter agency","474","","12","","",""
"2016","3600160","ELMWOOD VILLAGE CHARTER SCHOOL","New York","BUFFALO","Charter agency","399","","","","",""
"2016","3600161","SOUTH BRONX CLASSICAL CHARTER SCHOOL","New York","BRONX","Charter agency","488","","89","","",""
"2016","3600162","ALBANY COMMUNITY CHARTER SCHOOL","New York","ALBANY","Charter agency","682","","5","","",""
"2016","3600163","INTERNATIONAL LEADERSHIP CHARTER SCHOOL","New York","BRONX","Charter agency","367","","37","","",""
"2016","3600164","NIAGARA CHARTER SCHOOL","New York","NIAGARA FALLS","Charter agency","345","","","","",""
"2016","3600165","HYDE LEADERSHIP CHARTER SCHOOL","New York","BRONX","Charter agency","956","","93","","",""
"2016","3600166","ACHIEVEMENT FIRST-BUSHWICK CHARTER SCHOOL","New York","BROOKLYN","Charter agency","1067","","107","","",""
"2016","3600167","NEW HEIGHTS ACADEMY CHARTER SCHOOL","New York","NEW YORK","Charter agency","749","","82","","",""
"2016","3600169","SUCCESS ACADEMY CHARTER SCHOOL-HARLEM 1","New York","NEW YORK","Charter agency","1156","","35","","",""
"2016","3600170","ACHIEVEMENT FIRST ENDEAVOR CHARTER SCHOOL","New York","BROOKLYN","Charter agency","1053","","6","","",""
"2016","3600172","LEADERSHIP PREPARATORY BEDFORD STUYVESANT CHARTER SCHOOL","New York","BROOKLYN","Charter agency","1090","","20","","",""
"2016","3600173","TRUE NORTH ROCHESTER PREPARATORY CHARTER SCHOOL","New York","ROCHESTER","Charter agency","1003","","6","","",""
"2016","3600943","ICAHN CHARTER SCHOOL 2","New York","BRONX","Charter agency","323","","22","","",""
"2016","3600944","KINGS COLLEGIATE CHARTER SCHOOL","New York","BROOKLYN","Charter agency","433","","6","","",""
"2016","3600945","GREEN TECH HIGH CHARTER SCHOOL","New York","ALBANY","Charter agency","353","","","","",""
"2016","3600946","HENRY JOHNSON CHARTER SCHOOL","New York","ALBANY","Charter agency","380","","7","","",""
"2016","3600947","NYS OFFICE FOR PEOPLE WITH DEVELOPMENTAL DISABILITIES","New York","ALBANY","State-operated agency","7","7","","","",""
"2016","3600948","NORTHSIDE CHARTER HIGH SCHOOL","New York","BROOKLYN","Charter agency","401","","32","","",""
"2016","3600949","PAVE ACADEMY CHARTER SCHOOL","New York","BROOKLYN","Charter agency","481","","37","","",""
"2016","3600950","ROCHESTER ACADEMY CHARTER SCHOOL","New York","ROCHESTER","Charter agency","361","","23","","",""
"2016","3600952","THE EQUITY PROJECT CHARTER SCHOOL","New York","NEW YORK","Charter agency","597","","157","","",""
"2016","3600953","SUCCESS ACADEMY CHARTER SCHOOL-HARLEM 4","New York","NEW YORK","Charter agency","633","","27","","",""
"2016","3600954","SUCCESS ACADEMY CHARTER SCHOOL-HARLEM 2","New York","NEW YORK","Charter agency","789","","21","","",""
"2016","3600955","ICAHN CHARTER SCHOOL 3","New York","BRONX","Charter agency","318","","12","","",""
"2016","3600956","BRONX ACADEMY OF PROMISE CHARTER SCHOOL","New York","BRONX","Charter agency","609","","105","","",""
"2016","3600957","VOICE CHARTER SCHOOL OF NEW YORK","New York","LONG ISLAND CITY","Charter agency","665","","108","","",""
"2016","3600958","ST. HOPE LEADERSHIP ACADEMY CHARTER SCHOOL","New York","NEW YORK","Charter agency","304","","29","","",""
"2016","3600959","NYC CHARTER HS - AECI","New York","BRONX","Charter agency","426","","52","","",""
"2016","3600960","MOTT HAVEN ACADEMY CHARTER SCHOOL","New York","BRONX","Charter agency","304","","52","","",""
"2016","3600961","LA CIMA CHARTER SCHOOL","New York","BROOKLYN","Charter agency","380","","29","","",""
"2016","3600962","SUCCESS ACADEMY CHARTER SCHOOL-HARLEM 3","New York","NEW YORK","Charter agency","822","","27","","",""
"2016","3600963","UNIVERSITY PREP CHARTER HIGH SCHOOL","New York","BRONX","Charter agency","404","","37","","",""
"2016","3600964","DREAM CHARTER SCHOOL","New York","NEW YORK","Charter agency","497","","33","","",""
"2016","3600965","BEDFORD STUYVESANT COLLEGIATE CHARTER SCHOOL","New York","BROOKLYN","Charter agency","345","","9","","",""
"2016","3600966","BROOKLYN ASCEND CHARTER SCHOOL","New York","BROOKLYN","Charter agency","1266","","12","","",""
"2016","3600967","BGLIG-SHIRLEY RODRIGUEZ-REMENESKI CS","New York","BRONX","Charter agency","433","","41","","",""
"2016","3600968","BRONX COMMUNITY CHARTER SCHOOL","New York","BRONX","Charter agency","464","","77","","",""
"2016","3600969","ACHIEVEMENT FIRST BROWNSVILLE CHARTER SCHOOL","New York","BROOKLYN","Charter agency","932","","23","","",""
"2016","3600970","ALOMA D JOHNSON CHARTER SCHOOL","New York","BUFFALO","Charter agency","288","","3","","",""
