"year","leaid","lea_name","state_name","city_location","agency_type","enrollment"
"2014","3612120","GILBOA-CONESVILLE CENTRAL SCHOOL DISTRICT","New York","GILBOA","Regular local school district","342"
"2014","3612180","GLEN COVE CITY SCHOOL DISTRICT","New York","GLEN COVE","Regular local school district","3291"
"2014","3612240","GLENS FALLS CITY SCHOOL DISTRICT","New York","GLENS FALLS","Regular local school district","2038"
"2014","3612270","GLOVERSVILLE CITY SCHOOL DISTRICT","New York","GLOVERSVILLE","Regular local school district","2907"
"2014","3612300","GORHAM-MIDDLESEX CENTRAL SCHOOL DISTRICT (MARCUS WHITMAN)","New York","RUSHVILLE","Regular local school district","1286"
"2014","3612330","GOSHEN CENTRAL SCHOOL DISTRICT","New York","GOSHEN","Regular local school district","2949"
"2014","3612360","GOUVERNEUR CENTRAL SCHOOL DISTRICT","New York","GOUVERNEUR","Regular local school district","1679"
"2014","3612390","GOWANDA CENTRAL SCHOOL DISTRICT","New York","GOWANDA","Regular local school district","1200"
"2014","3612400","GREENBURGH-GRAHAM UNION FREE SCHOOL DISTRICT","New York","HASTINGS ON HUDSON","Regular local school district","79"
"2014","3612450","GRANVILLE CENTRAL SCHOOL DISTRICT","New York","GRANVILLE","Regular local school district","1144"
"2014","3612510","GREAT NECK UNION FREE SCHOOL DISTRICT","New York","GREAT NECK","Regular local school district","6654"
"2014","3612630","GREECE CENTRAL SCHOOL DISTRICT","New York","ROCHESTER","Regular local school district","11312"
"2014","3612660","GREEN ISLAND UNION FREE SCHOOL DISTRICT","New York","GREEN ISLAND","Regular local school district","341"
"2014","3612720","GREENBURGH CENTRAL SCHOOL DISTRICT","New York","HARTSDALE","Regular local school district","1893"
"2014","3612750","GREENE CENTRAL SCHOOL DISTRICT","New York","GREENE","Regular local school district","1065"
"2014","3612840","GREENPORT UNION FREE SCHOOL DISTRICT","New York","GREENPORT","Regular local school district","691"
"2014","3612870","GREENVILLE CENTRAL SCHOOL DISTRICT","New York","GREENVILLE","Regular local school district","1186"
"2014","3612900","GREENWICH CENTRAL SCHOOL DISTRICT","New York","GREENWICH","Regular local school district","1038"
"2014","3612960","GREENWOOD LAKE UNION FREE SCHOOL DISTRICT","New York","MONROE","Regular local school district","555"
"2014","3612990","SPRINGVILLE-GRIFFITH INSTITUTE CENTRAL SCHOOL DISTRICT","New York","SPRINGVILLE","Regular local school district","1815"
"2014","3613020","GROTON CENTRAL SCHOOL DISTRICT","New York","GROTON","Regular local school district","840"
"2014","3613080","GUILDERLAND CENTRAL SCHOOL DISTRICT","New York","GUILDERLAND CENTER","Regular local school district","4984"
"2014","3613110","HADLEY-LUZERNE CENTRAL SCHOOL DISTRICT","New York","LAKE LUZERNE","Regular local school district","777"
"2014","3613230","HALDANE CENTRAL SCHOOL DISTRICT","New York","COLD SPRING","Regular local school district","859"
