,created_at,tweet_id,text,user_id,user_name
102,Fri Jun 07 14:46:31 +0000 2019,1137007936343953408,TIL a coworker @jennifer_bisset is a former pro footballer! (That’s soccer to the Yanks out there.) Check out her a… https://t.co/ieXNewyLcN,6595682,Stephen Shankland
103,Fri Jun 07 14:45:52 +0000 2019,1137007774972256261,"This is almost taking me back to my university days, studying American history in class. When it is required by law… https://t.co/j56evGlVA9",67267427,Diana Yeow
104,Fri Jun 07 14:45:43 +0000 2019,1137007737043378176,"RT @extra3: Heute beginnt die Frauen-WM. Wer keinen Bock hat auf Weichei-Fußball voller Diven, kann also froh sein, dass Bundesliga und Cha…",1072501414621077504,weltraumaffe
105,Fri Jun 07 14:45:33 +0000 2019,1137007694265704449,"The Women’s World Cup starts today so this account is now an official Alex Morgan, Megan Rapinoe, Tobin Heath, Mall… https://t.co/NCjlMjGEXl",208739005,kino
106,Fri Jun 07 14:45:29 +0000 2019,1137007676876087296,"RT @extra3: Heute beginnt die Frauen-WM. Wer keinen Bock hat auf Weichei-Fußball voller Diven, kann also froh sein, dass Bundesliga und Cha…",2898667199,Michl🇨🇰🇸🇨🇧🇸
107,Fri Jun 07 14:45:29 +0000 2019,1137007675382927362,"RT @extra3: Heute beginnt die Frauen-WM. Wer keinen Bock hat auf Weichei-Fußball voller Diven, kann also froh sein, dass Bundesliga und Cha…",994281163530424320,"Lou's EF Kuscheltier 🤗♥️/* [CSD-Stuttgart,EWF19]⚡"
108,Fri Jun 07 14:45:03 +0000 2019,1137007568814059520,is the wc match going to be on fox? #WWC2019,708475084,Sam
109,Fri Jun 07 14:45:00 +0000 2019,1137007554771349505,"La #WWC2019 débute aujourd'hui avec #FRAKOR !
Pour l'occasion, je ressors des archives mon article dédié à cette co… https://t.co/Wb6HSCBtsY",1001738990653931520,Foot d'infographies
110,Fri Jun 07 14:44:47 +0000 2019,1137007500337790977,"RT @extra3: Heute beginnt die Frauen-WM. Wer keinen Bock hat auf Weichei-Fußball voller Diven, kann also froh sein, dass Bundesliga und Cha…",1124410642918719489,Cloudz64325
111,Fri Jun 07 14:44:22 +0000 2019,1137007397615087618,"Alors que ce #RG19 s'approche doucement de son terme, la Coupe du Monde Féminine va commencer ce soir. 🎾 ⚽🏆🇫🇷
L'enc… https://t.co/kAv3WDGMqm",2525435718,NikoO' ⭐6⃣🏆
